PH,oxy,elec,tur,tem
7.4,7,2427,222.4,18.7
7.4,7.1,2427.7,260.4,18.8
7.4,7.1,2390.3,287.3,18.8
7.4,7,2323.8,305.3,18.8
7.4,6.9,2276.4,310.3,18.8
7.4,6.9,2583.2,303.6,18.8
7.4,6.7,2837.4,272.6,18.7
7.4,6.5,3005.3,243,18.7
7.4,6.3,3091.6,230.1,18.7
7.4,6.1,3115.7,214.6,18.7
7.3,5.9,3121.2,195.8,18.7
7.3,5.8,3114.8,191.5,18.7
7.3,5.6,3057.1,186.1,18.6
7.3,5.5,2975.1,183.5,18.6
7.3,5.5,2881.1,183,18.6
7.3,5.4,2801.4,180.8,18.5
7.3,5.4,2766.6,188.3,18.5
7.3,5.5,2743.9,197.8,18.5
7.3,5.7,2702.1,196.8,18.5
7.3,5.9,2682.9,210.7,18.5
7.3,6,2695.2,216.7,18.5
7.3,6.1,2738.3,222.1,18.6
7.3,6.2,2808.9,237.9,18.6
7.3,6.2,2900.5,251.5,18.6
7.3,6.2,3002.2,261.4,18.6
7.3,6.2,3087.1,252.9,18.6
7.3,6.1,3143.9,241,18.6
7.3,6.2,3122.6,223,18.5
7.3,6.1,3094.4,205,18.5
7.3,6.1,3043.2,183.2,18.5
7.3,6,3006.6,178.2,18.4
7.3,5.9,3003.4,177.7,18.4
7.3,5.7,3040.8,178.1,18.4
7.3,5.5,3074.7,192.8,18.5
7.3,5.3,3104.6,198,18.5
7.3,5.2,3132.3,200,18.5
7.3,5,3154.6,195.7,18.4
7.3,4.9,3171,188.9,18.4
7.3,4.7,3167.1,182.9,18.4
7.3,4.6,3161.1,177,18.3
7.3,4.5,3170.3,166.5,18.3
7.3,4.5,3152.6,170.5,18.3
7.3,4.4,3152.5,179.2,18.3
7.3,4.5,3158.4,182,18.3
7.2,4.7,3190.6,201.3,18.4
7.2,5,3205.5,218,18.4
7.3,5.3,3200.2,232,18.5
7.3,5.6,3141.1,234,18.6
7.3,5.8,3066.2,221.7,18.6
7.3,5.8,3006.5,209.1,18.6
7.3,5.8,2940.8,186.3,18.7
7.2,5.8,2857.5,159.8,18.7
7.2,5.8,2762.9,145.5,18.6
7.2,5.8,2673.8,133.9,18.6
7.2,5.8,2620.8,122.7,18.6
7.2,5.7,2595.9,128,18.6
7.2,5.5,2626,133.8,18.6
7.2,5.4,2649.9,136.4,18.5
7.2,5.2,2671.6,140.6,18.5
7.2,5.1,2694,141.9,18.5
7.2,4.9,2706.5,152.8,18.4
7.2,4.7,2745.7,164.8,18.4
7.2,4.7,2748.8,185.1,18.5
7.2,4.7,2664.2,222.7,18.5
7.2,4.6,2477.4,255.5,18.6
7.2,4.4,2347.8,299.9,18.7
7.2,4.1,2270.1,351.5,18.8
7.2,4,2226.2,386.8,18.9
7.3,3.9,2212.2,403.2,18.9
7.3,3.9,2218.8,388.2,19
7.3,3.9,2239.1,344.8,19
7.3,4,2267.8,308.9,19
7.4,4.1,2304.2,283.6,19
7.4,4.2,2351.8,268.6,19
7.4,4.2,2416.8,260.1,18.9
7.4,4.1,2474.3,249.2,18.9
7.5,4,2503.5,233.1,18.9
7.5,3.9,2487.5,211.5,18.9
7.5,3.8,2432.7,187.4,18.8
7.5,3.7,2418.1,168.4,18.8
7.5,3.6,2434.4,155.8,18.7
7.5,3.5,2438.5,148.4,18.7
7.4,3.3,2441,142.3,18.7
7.4,3.2,2453.7,127.2,18.6
7.4,3.1,2479.8,115.7,18.6
7.4,3,2545,107.2,18.6
7.4,3,2663.3,107.6,18.6
7.4,2.9,2851.6,118.9,18.7
7.5,2.9,3086.7,133.2,18.8
7.5,3,3270,145.1,18.8
7.5,3.1,3401.4,157.5,18.9
7.5,3.2,3464.9,162.1,18.9
7.5,3.4,3502.4,167,18.9
7.5,3.5,3649.8,170.6,19
7.6,3.8,3840.6,168.6,19
7.6,4,4017.5,165.3,19
7.6,4.1,4183.6,163.5,19
7.6,4.4,4236.6,156.3,18.9
7.7,4.5,4269.3,147.1,18.9
7.7,4.7,4179.9,133.5,18.9
7.7,4.8,4013.9,121.1,18.9
7.7,4.9,3766.8,107,18.9
7.7,4.9,3535.1,91.9,18.8
7.6,4.9,3200,75.4,18.8
7.6,5,2841.3,63,18.7
7.6,5,2485.1,53.6,18.7
7.6,5.1,2323.7,45.5,18.7
7.6,5.2,2119.2,37.2,18.6
7.6,5.2,1942.4,32,18.5
7.6,5.2,1992.2,31.6,18.5
7.6,5.1,2120.4,37,18.5
7.6,5,2317.1,48.7,18.5
7.6,5,2555.7,64.6,18.6
7.6,5.1,2793.5,83.2,18.8
7.6,5.2,3020,102.3,18.9
7.6,5.6,3094.2,112,19.1
7.7,5.9,3169.5,120.4,19.3
7.7,6.3,3198.9,119.9,19.4
7.7,6.6,3279.7,118.9,19.5
7.8,6.7,3397.5,120.7,19.6
7.8,6.8,3588,127.3,19.6
7.8,6.8,3763.5,131.8,19.6
7.8,6.7,3903.6,130.2,19.5
7.8,6.5,4000.3,124.3,19.5
7.8,6.4,3987.8,114,19.4
7.8,6.3,3946.6,105.1,19.3
7.8,6.2,3898,95,19.3
7.7,6.1,3817.7,86.7,19.2
7.7,5.9,3757.5,81.1,19.2
7.7,5.8,3622.8,75.1,19.2
7.7,5.5,3484.8,68.7,19.2
7.6,5.3,3314.7,64.2,19.2
7.6,5,3096.8,60.7,19.2
7.6,4.9,2838.4,56.8,19.2
7.6,4.8,2802,54,19.1
7.6,4.8,2837.7,55.6,19.1
7.6,4.7,2958.5,63.6,19.1
7.6,4.7,3070.8,72.1,19.2
7.6,4.8,3173,83,19.2
7.6,5,3292.2,95.8,19.3
7.6,5.4,3366,109.3,19.4
7.7,5.8,3451,118.3,19.5
7.7,6.3,3454.6,123.1,19.7
7.7,6.4,3473.2,127.7,19.7
7.8,6.7,3451.1,130.8,19.7
7.8,6.9,3459.9,133.2,19.8
7.8,7,3459.6,126.5,19.8
7.8,7,3403.2,117.9,19.7
7.8,7,3285,109.4,19.7
7.8,6.8,3131.4,101.9,19.7
7.8,6.6,2964.1,96,19.7
7.8,6.4,3131.4,90,19.7
7.7,6.3,3263.9,84.7,19.7
7.7,6.1,3309.4,81.2,19.6
7.7,5.9,3283.2,79.5,19.6
7.7,5.6,3250,77.6,19.6
7.7,5.3,3157.7,75.4,19.5
7.6,5.1,3218.3,74.2,19.5
7.6,4.9,3258.1,73.7,19.5
7.6,4.8,3278.1,74.1,19.5
7.6,4.8,3273.8,72.8,19.6
7.6,5,3254.9,69.9,19.6
7.6,5.4,3204.2,68.3,19.7
7.7,5.9,3171.5,69.3,19.8
7.7,6.4,3175.8,70.7,19.9
7.8,7,3190.5,74.3,20
7.8,7.6,3220.1,81.3,20.1
7.9,7.8,3323.8,92.6,20.2
7.9,7.6,3485.5,104.2,20.2
7.9,7,3688.8,109.7,20.1
7.8,6.4,3912.7,110.1,20
7.8,5.7,4139.5,107.5,19.8
7.7,5.2,4285.9,105.5,19.7
7.7,5,4396,103.6,19.7
7.7,4.9,4509.1,100.8,19.7
7.7,5,4557,96.3,19.7
7.7,5,4580.4,88.9,19.7
7.7,5,4590.3,83.5,19.7
7.7,4.9,4597.7,79.9,19.8
7.7,4.8,4591.4,76.2,19.8
7.7,4.8,4550.7,72.2,19.8
7.7,4.6,4522.7,70.5,19.7
7.7,4.6,4490.8,70.1,19.7
7.6,4.5,4454.2,70.7,19.7
7.6,4.4,4448.4,75.6,19.7
7.6,4.3,4481.2,82.9,19.7
7.6,4.4,4523,89.5,19.8
7.6,4.4,4568,93.6,19.8
7.6,4.4,4594.9,96.1,19.8
7.6,4.5,4618.7,96.4,19.9
7.7,4.3,4651.3,97.7,19.9
7.7,4.2,4696.9,100.3,19.8
7.7,4,4771.1,104.4,19.8
7.7,4,4857.5,107.8,19.7
7.7,4,4901.2,110.3,19.7
7.7,4.2,4825.4,110.1,19.7
7.7,4.4,4705.5,105.8,19.7
7.7,4.6,4466.9,94.3,19.7
7.7,4.7,4277.6,79.5,19.7
7.7,4.8,4027,65.2,19.7
7.7,4.8,3782.6,53.9,19.7
7.7,4.8,3600.8,46,19.6
7.7,4.7,3467.8,41.2,19.6
7.6,4.8,3346.4,37.2,19.5
7.6,4.8,3298.4,34,19.4
7.6,4.9,3273.8,32.7,19.4
7.6,4.9,3314.1,34,19.4
7.6,4.8,3376.8,38.5,19.4
7.6,4.6,3467.4,45.6,19.4
7.6,4.4,3596.3,56.1,19.5
7.6,4.2,3754.9,67.9,19.7
7.6,4,3886.4,79.5,19.8
7.6,4.1,3978.2,87.7,19.9
7.6,4.3,4045.7,92.1,19.9
7.6,4.5,4097.2,95.5,19.9
7.6,4.7,4165.8,98.9,19.8
7.6,4.9,4218,101.4,19.8
7.7,5,4263.5,103.2,19.8
7.7,4.9,4283,102.2,19.8
7.7,4.8,4246.1,100.4,19.8
7.7,4.7,4147.3,96.4,19.7
7.6,4.7,3995.8,86.8,19.7
7.6,4.6,3859.2,75.4,19.7
7.6,4.5,3686.8,62.8,19.7
7.6,4.4,3544.5,51.6,19.7
7.6,4.4,3411.5,42.8,19.7
7.6,4.5,3289.4,36.4,19.7
7.6,4.6,3178.1,32,19.6
7.6,4.6,3099.6,30.6,19.6
7.6,4.5,3045,31.1,19.6
7.6,4.5,3044.7,33,19.6
7.6,4.5,3069.5,36.7,19.6
7.6,4.4,3111.2,42.2,19.6
7.6,4.3,3149.5,49.6,19.8
7.6,4.6,3143.5,57.6,19.9
7.6,5.3,3081.7,64.8,20
7.7,6.1,2980.8,65.5,20.1
7.8,7.1,2966,64.9,20.3
7.8,8,2915,64.6,20.5
7.9,8.8,2869.3,63.5,20.6
8,9.1,2815.6,60.4,20.6
8,9.2,2803.3,56.4,20.6
7.9,8.8,2815.5,53.3,20.5
7.9,8.1,2825.8,52.1,20.4
7.8,7.5,2802.4,51.2,20.3
7.7,6.9,2807.6,51.1,20.2
7.7,6.4,2801.5,50,20.1
7.7,5.9,2841.8,49.4,20.1
7.6,5.3,3085,50.2,20
7.6,4.9,3310.6,51.4,19.9
7.6,4.6,3472.8,52.4,19.9
7.6,4.4,3629.7,53.3,19.8
7.6,4.2,3705.3,53.4,19.8
7.6,4.2,3653.2,51.2,19.7
7.6,4.2,3550,50.1,19.6
7.6,4.2,3498.6,50.5,19.6
7.6,4.3,3440.2,51.7,19.5
7.6,4.4,3387.3,53.3,19.5
7.6,4.7,3409,53.6,19.5
7.6,4.8,3450.2,55.8,19.6
7.6,4.9,3497.3,59.9,19.6
7.6,5,3540.9,63.9,19.7
7.7,5.2,3569.1,66.7,19.7
7.7,5.5,3584.3,69.6,19.7
7.7,5.8,3571.6,70.3,19.7
7.7,6,3580.6,69.6,19.6
7.7,6.2,3574.8,67.9,19.5
7.7,6.2,3546.8,66.4,19.5
7.7,6.2,3569.4,66.2,19.4
7.7,6,3565.4,65.7,19.3
7.7,5.8,3605.8,64.5,19.2
7.7,5.4,3654.3,63.2,19.2
7.7,5,3664.4,60.4,19.1
7.6,4.6,3579.6,55.3,19.1
7.6,4.3,3436.5,47.7,19
7.6,4.1,3192.8,38.7,19
7.5,3.9,2910.2,32.1,19
7.5,3.9,2682.7,29.3,18.9
7.5,3.8,2548,30.5,18.9
7.5,3.8,2491.7,34.6,18.9
7.5,3.9,2484.5,42.6,18.9
7.5,3.9,2515.2,54.7,19
7.5,4,2555.3,69,19.1
7.5,4.1,2579.1,88.1,19.3
7.5,4.2,2548.9,112.1,19.4
7.5,4.4,2469.9,128.7,19.5
7.6,4.5,2565.7,135,19.6
7.6,4.6,2687.6,131.7,19.7
7.6,4.6,2810.8,123.9,19.7
7.6,4.4,2955.5,116.8,19.6
7.5,4.2,3089.6,110.5,19.5
7.5,4,3174.5,104.6,19.4
7.5,3.9,3206.3,100.8,19.3
7.5,3.8,3204.2,97.1,19.2
7.5,3.6,3261.6,93.4,19.1
7.5,3.5,3300.8,89.2,19.1
7.5,3.5,3299.8,84,19
7.5,3.5,3252.3,78,18.9
7.5,3.5,3209.3,70.8,18.9
7.5,3.4,3231.7,63.3,18.9
7.5,3.2,3325.3,60.6,19
7.5,3.1,3421.1,60.9,19
7.5,3,3530.7,62.5,19
7.5,3.1,3608.9,67.5,18.9
7.5,3.1,3747.1,79.4,19
7.5,3.3,3868.2,95.7,19
7.6,3.6,3948.7,113.1,18.9
7.6,3.9,3971.7,120.4,18.9
7.6,4.2,3991.7,119.6,19
7.6,4.4,4062.6,118.2,19
7.6,4.5,4112.1,113.4,19.1
7.6,4.6,4137.9,106.4,19.1
7.6,4.7,4126,99.9,19.2
7.6,4.7,4100.6,96.1,19.2
7.6,4.6,4091.9,93.6,19.2
7.6,4.5,4069.3,90.6,19.2
7.6,4.4,4060.8,88.4,19.1
7.6,4.3,4093.4,85.8,19.1
7.6,4.2,4088.4,82.8,19
7.6,4.1,4022.1,78.6,19
7.6,4,3878.2,73.7,18.9
7.5,3.8,3764.6,68.4,18.8
7.5,3.7,3653.2,63.9,18.8
7.5,3.5,3559.5,58.5,18.7
7.5,3.5,3485.1,54.7,18.7
7.5,3.6,3364.6,51.4,18.6
7.5,3.8,3200.8,48.6,18.5
7.5,4.3,3007.1,45,18.4
7.5,4.8,2806.9,40.9,18.4
7.5,5.2,2627.7,38.9,18.4
7.5,5.5,2531.9,39.1,18.5
7.5,5.6,2596.2,41.2,18.6
7.6,5.8,2658,42.8,18.6
7.6,5.8,2785.1,44.3,18.7
7.6,5.8,2925.9,46.3,18.8
7.6,5.6,3101.3,50.1,18.8
7.6,5.5,3280.1,55.8,18.8
7.6,5.5,3482.6,63.2,18.8
7.6,5.4,3673.3,70.6,18.8
7.6,5.4,3803.5,75.4,18.9
7.6,5.2,3827,77.1,18.9
7.6,5,3868.3,76.9,18.9
7.5,4.8,3822.1,74.6,18.8
7.5,4.5,3656.3,69.6,18.8
7.5,4.4,3438.4,63.9,18.7
7.5,4.4,3239,58.9,18.7
7.5,4.4,3018.2,54.5,18.6
7.5,4.6,2811.8,50.5,18.6
7.5,4.7,2635.3,46.9,18.6
7.5,4.7,2494.9,44.5,18.6
7.4,4.7,2328.1,42.7,18.6
7.4,4.8,2135.3,41.4,18.6
7.4,4.9,1884.6,40.7,18.6
7.5,5.1,1773.2,41.8,18.7
7.5,5.2,1915.8,45,18.8
7.5,5.2,2109.2,49.2,18.9
7.5,5.1,2240.8,53.4,19
7.4,5,2309,58.4,19.1
7.4,4.8,2407.3,65.4,19.1
7.4,4.5,2760.7,72.8,19
7.4,4.3,3131.1,79.3,19
7.4,4,3445.3,84.3,19
7.5,3.8,3619.8,85.9,18.9
7.5,3.7,3670.6,84.6,18.9
7.5,3.6,3638.5,83.5,18.9
7.5,3.6,3734.6,82,18.9
7.5,3.7,3742.9,79.8,18.9
7.5,3.9,3744.1,76.4,18.9
7.5,4,3651.9,71.3,18.9
7.4,4,3553.2,68.4,18.9
7.4,3.9,3542.9,66.6,18.9
7.4,3.9,3526,65,18.9
7.4,3.8,3590.1,63.9,18.9
7.4,3.7,3618.4,63.7,18.9
7.4,3.6,3791.2,64.1,18.8
7.4,3.6,3887.4,64.5,18.8
7.4,3.7,3910.3,64.3,18.7
7.4,3.8,3945.5,64,18.7
7.4,4.1,3974.7,63.1,18.7
7.4,4.4,3983.5,62.6,18.7
7.4,4.7,3962.6,62.2,18.8
7.4,5,3923.9,62.9,18.8
7.5,5.1,3931.8,65.5,18.9
7.5,5.2,3918.1,68.1,18.9
7.5,5.3,3926.8,70.4,18.9
7.5,5.3,3918.8,69.8,18.9
7.4,5.3,3940.4,67.6,18.8
7.4,5.4,3918.1,62.5,18.8
7.4,5.4,3834.6,56.3,18.7
7.4,5.5,3734.6,50.7,18.6
7.4,5.5,3616.9,46.2,18.5
7.4,5.5,3502.9,43.8,18.4
7.4,5.5,3380.4,42.8,18.3
7.4,5.3,3331.5,42.9,18.2
7.4,5.1,3293.8,45.3,18.1
7.4,4.8,3273.9,50.2,18
7.4,4.6,3246.7,55.9,18
7.4,4.3,3250.5,59.3,17.9
7.4,4.2,3282,62.9,17.8
7.4,4,3326.9,67.8,17.8
7.4,4,3368.7,71.5,17.8
7.4,4.1,3457.4,69.5,17.9
7.4,4.2,3609.1,65.1,18.1
7.4,4.4,3743.1,59.6,18.3
7.4,4.4,3832.2,53.8,18.5
7.4,4.4,3869,48.7,18.6
7.3,4.2,3858.2,44.9,18.6
7.3,4,3814.2,42.2,18.6
7.3,3.8,3758.5,41.1,18.6
7.3,3.6,3704,41.4,18.5
7.3,3.5,3734.2,41.8,18.4
7.3,3.5,3766.6,42.3,18.3
7.3,3.6,3780.5,42.4,18.2
7.3,3.7,3773,42.5,18.1
7.3,3.8,3753.1,42.5,18.1
7.3,4,3759.1,42.3,18
7.3,4.3,3757.7,41.7,18
7.3,4.5,3743.7,41.1,18
7.3,4.6,3743,39.6,17.9
7.3,4.5,3739.8,38.2,17.9
7.3,4.3,3722.4,37.1,17.8
7.3,4.3,3695.1,36,17.7
7.3,4.2,3653.2,34.9,17.6
7.3,4.3,3580.5,33.4,17.6
7.3,4.5,3479.3,32.1,17.7
7.3,4.8,3355.9,31,17.8
7.3,5,3321.1,30.6,17.9
7.3,5.2,3339.4,30.2,18
7.3,5.5,3369,30.2,18.2
7.3,5.8,3382.2,30.7,18.3
7.3,6,3448.6,32.2,18.3
7.3,5.8,3518.6,33.7,18.4
7.3,5.2,3587.6,34.5,18.3
7.3,4.6,3674.1,36,18.2
7.3,4,3785.2,38.4,18.2
7.3,3.6,3871.1,41.4,18.1
7.3,3.4,3924.9,44.9,18.1
7.3,3.4,3940.1,48.3,18.1
7.3,3.5,3890.6,51.2,18
7.3,3.8,3784.7,53.2,18
7.3,3.9,3673.3,52.7,17.9
7.3,3.8,3634.4,50.3,17.8
7.3,3.6,3676.1,46.7,17.8
7.3,3.4,3762.9,43.8,17.8
7.3,3.2,3765.1,41,17.7
7.3,3.2,3703.8,38.4,17.5
7.3,3.3,3681.5,36.4,17.4
7.3,3.4,3706.4,35.4,17.4
7.3,3.5,3718,35,17.4
7.3,3.6,3736.2,35.5,17.4
7.3,3.5,3764.6,36.5,17.5
7.3,3.6,3802.9,38.1,17.6
7.3,3.7,3850.4,40,17.7
7.3,4,3880.8,43.3,17.8
7.3,4.4,3918.1,48,17.9
7.4,4.8,4060.7,54.1,18
7.4,5.2,4220.8,59.6,18.1
7.5,5.5,4354.5,63.6,18.1
7.5,5.4,4455.4,65.7,18.1
7.5,5.2,4501.7,66.1,18
7.5,4.9,4536.4,64.5,18
7.5,4.8,4527.7,61.2,18
7.5,4.7,4504.6,56.6,17.9
7.5,4.5,4499.9,52.3,17.9
7.5,4.2,4536.3,50.7,17.9
7.5,4,4558,48.6,17.9
7.5,3.9,4583.6,45.9,17.8
7.4,3.7,4622.9,43.2,17.8
7.5,3.7,4619.4,40.9,17.8
7.5,3.8,4569.9,39,17.7
7.5,4.1,4483.9,38.1,17.6
7.5,4.5,4377.4,38.2,17.5
7.5,4.9,4289.1,39.4,17.5
7.5,5.2,4246.9,41.6,17.6
7.6,5.5,4236.7,43.3,17.7
7.6,6,4242.2,44.7,17.9
7.7,6.9,4240,44.9,18.1
7.8,7.8,4236.2,44,18.3
7.9,8.4,4231.7,42.5,18.5
7.9,8.4,4249.8,41.2,18.5
7.9,8.3,4276.1,41.3,18.5
7.9,8.3,4287.9,43.6,18.5
7.9,8.2,4279.3,46.6,18.5
7.9,8.1,4244.2,50.6,18.5
7.9,8,4159.2,55.5,18.6
7.8,7.6,4018.6,58.9,18.7
7.8,7.1,3802.1,58.4,18.7
7.7,6.5,3511.9,52.4,18.6
7.7,6.2,3183.8,44.3,18.5
7.6,5.9,2958.8,39.1,18.4
7.6,5.7,2851.5,37.1,18.3
7.5,5.4,2836.2,36.4,18.3
7.5,5.1,2841.4,35.8,18.2
7.5,4.9,2833.6,34.7,18.1
7.5,4.8,2825.1,33.4,18
7.5,4.7,2857.8,33.3,18
7.5,4.7,2927.4,34.5,18
7.5,4.6,3028.7,37.7,18.1
7.5,4.5,3144.1,42.1,18.2
7.5,4.4,3262.8,47.5,18.3
7.5,4.3,3373.5,53.7,18.5
7.5,4.3,3465.3,60.4,18.6
7.5,4.3,3512.2,68.5,18.6
7.5,4.4,3519.8,75.7,18.7
7.5,4.4,3529.3,78.2,18.6
7.5,4.3,3549.4,77.3,18.6
7.5,4.4,3548.2,75.4,18.5
7.5,4.4,3530.2,71.9,18.3
7.5,4.5,3499.8,68.1,18.2
7.5,4.6,3463.9,64.7,18.1
7.6,4.7,3427.9,62,18
7.6,4.8,3416.1,59.5,17.9
7.6,4.8,3442.9,56.8,17.9
7.5,4.9,3525.8,53.8,17.8
7.5,4.9,3658.5,50.9,17.8
7.5,4.9,3745.7,47.9,17.8
7.5,4.9,3750,45.8,17.6
7.5,4.9,3717.3,45.1,17.5
7.5,4.9,3665.7,45.7,17.3
7.5,4.9,3625.2,47,17.3
7.5,4.9,3619.2,48.5,17.2
7.5,4.9,3647.9,50.4,17.3
7.5,5,3711.1,53,17.3
7.5,5,3793.1,55.8,17.5
7.5,5.1,3885.5,58.6,17.6
7.6,5.1,3979.9,61.3,17.7
7.6,5.1,4067.9,63.5,17.8
7.6,5.2,4124.9,64.8,17.9
7.6,5,4181.4,65,17.9
7.6,4.7,4248.8,65.8,17.9
7.6,4.5,4291.4,66.5,17.9
7.6,4.4,4298.9,67.2,17.8
7.6,4.5,4252.5,67.9,17.8
7.6,4.7,4168.6,66.9,17.7
7.6,4.8,4051.2,65.5,17.6
7.6,4.9,3926.6,65.1,17.5
7.6,5.1,3786.5,65.1,17.4
7.6,5.3,3581,65.2,17.3
7.6,5.4,3399.1,65.9,17.1
7.6,5.6,3141.8,68,17
7.6,5.7,2924.4,68.9,16.9
7.6,5.8,2741.1,68.5,16.9
7.6,5.8,2605.8,67,16.9
7.6,5.9,2507.1,65,16.9
7.6,5.9,2443.8,62.8,17
7.6,5.9,2415,60.6,17
7.6,5.8,2421.1,59.5,17.1
7.5,5.7,2454.8,58.8,17.2
7.5,5.5,2511.5,58.4,17.2
7.5,5.3,2586.7,58.2,17.3
7.5,5.2,2675.7,58.1,17.3
7.5,5.1,2774,58,17.4
7.5,5,2877,57.7,17.4
7.5,5,2981.7,56.9,17.5
7.5,5.2,3070.7,56.1,17.5
7.5,5.2,3176.2,54.7,17.5
7.5,5.4,3265.2,52.8,17.5
7.6,5.7,3311.8,50.1,17.5
7.6,5.8,3310.9,46.5,17.5
7.6,5.8,3269.4,43.8,17.4
7.6,5.8,3200.9,40.9,17.2
7.6,5.8,3114.6,38.1,17.1
7.6,5.8,3030.6,36.3,17
7.6,5.9,2949.5,35.8,16.9
7.6,6,2863.4,36.2,16.9
7.6,6,2785.8,37.6,16.9
7.6,6.1,2705.6,38.9,16.9
7.6,6.2,2630.3,41.1,17
7.6,6.3,2597.4,42.9,17.1
7.6,6.1,2621.4,43.9,17.1
7.5,5.7,2707.9,44.7,17.2
7.5,5.3,2810.9,46.5,17.2
7.5,4.9,2912.6,46.7,17.3
7.5,4.6,3023.7,46.6,17.4
7.5,4.4,3143.2,46.3,17.5
7.5,4.2,3270,46,17.5
7.5,4.1,3402.9,46,17.6
7.5,4,3556.1,46.2,17.6
