PH,oxy,elec,tur,tem
7.64,5.35,3899,132,19.3
7.87,7.91,3171,109,20.2
7.69,5.82,3697,125,19.7
7.74,6.11,3133,114,19.6
7.85,7.52,3397,177,19.9
7.79,6.98,3659,123,19.7
7.78,6.84,3653,110,19.7
7.82,7.07,3513,103,19.7
7.82,7.12,3612,95,19.7
7.77,6.6,912,102,19.7
7.75,5.95,3672,91,19.7
7.71,5.79,3765,80,19.6
7.76,7.02,3599,74,19.7
7.69,5.91,3155,86,19.7
7.67,5.45,3744,82,19.6
7.67,5.39,2127,72,19.4
7.64,5.37,3491,72,19.6
7.61,4.9,3357,67,19.5
7.58,4.48,3360,85,19.5
7.57,4.34,3276,84,19.5
7.6,4.8,3450,65,19.6
7.65,5.56,3118,58,19.7
7.66,5.87,3023,78,19.8
7.65,6.11,3276,70,19.7
7.67,5.92,3326,65,19.8
7.94,9,2980,60,20.3
7.98,8.63,3222,87,20.4
7.99,8.42,3421,132,20.4
7.85,7.05,3646,124,20.1
7.79,6.39,3814,115,20
7.67,4.72,4542,94,19.6
7.71,4.88,4318,99,19.6
7.65,4.31,4138,103,19.6
7.74,5.22,4780,106,19.8
7.72,4.84,4536,113,19.8
7.76,5.52,4545,74,19.7
7.74,5.27,4504,76,19.7
7.73,4.86,4597,85,19.8
7.73,4.6,4771,85,19.9
7.71,4.98,4411,63,19.7
7.67,4.53,4560,72,19.8
7.66,4.61,4589,77,19.7
7.65,4.53,4343,53,19.6
7.63,4.38,4296,67,19.6
7.62,4.12,4511,89,19.7
7.61,4.14,4524,101,19.8
7.63,4.61,4697,96,19.8
7.61,4.16,4618,107,19.8
7.7,5.13,4591,88,20
7.67,4.48,4621,92,20
7.65,4.34,4520,91,19.8
7.65,3.73,4590,106,19.7
7.65,3.75,4878,104,19.7
7.63,3.36,5360,111,19.7
7.73,4.24,4661,114,19.7
7.76,4.73,5255,133,19.7
7.74,4.69,3851,100,19.6
7.76,4.82,4668,74,19.6
7.73,4.81,4032,53,19.7
7.7,4.85,3519,45,19.7
7.66,4.82,3507,39,19.7
7.64,4.46,3684,49,19.6
7.63,4.41,3098,43,19.6
7.65,4.81,3456,34,19.4
7.63,5.21,3079,31,19.4
7.62,5.01,3415,29,19.3
7.6,4.9,3390,38,19.3
7.62,4.89,3360,35,19.2
7.6,4.61,3450,54,19.5
7.56,3.71,3905,66,19.8
7.55,3.73,4044,93,19.9
7.58,3.59,4016,101,20
7.62,4.33,4076,88,20
7.6,4.62,3902,88,19.9
7.6,4.46,4215,98,19.7
7.7,5.43,4129,97,19.8
7.65,5.48,4237,112,19.8
7.65,4.73,4404,93,19.8
7.64,4.65,4386,99,19.7
7.67,4.6,4300,118,19.8
7.66,4.85,3729,86,19.7
7.63,4.67,4089,79,19.6
7.6,4.46,3479,57,19.7
7.59,4.24,3554,45,19.8
7.56,4.23,3429,40,19.8
7.56,4.11,3345,38,19.6
7.64,5.38,3109,26,19.6
7.62,5.01,3146,31,19.6
7.55,3.96,2857,35,19.7
7.59,4.92,3035,31,19.5
7.59,4.94,3014,35,19.5
7.59,4.8,3077,35,19.5
7.51,3.56,3311,45,19.8
7.49,3.13,3364,54,20
7.64,5.39,3302,97,19.9
7.61,6.05,2336,62,20.1
7.69,6.77,3286,53,20.2
7.82,7.94,2882,64,20.5
8.04,9.76,2999,72,20.7
8.03,9.37,2609,64,20.8
8.1,10.34,2719,52,20.7
7.97,9.27,2862,44,20.5
7.77,7.05,3105,54,20.2
7.84,7.62,2652,49,20.4
7.65,6.24,3099,59,20.1
7.67,6.18,2852,50,20.1
7.71,6.75,1710,42,20.1
7.6,4.88,3413,50,20
7.58,4.61,3678,53,19.9
7.59,4.78,3207,51,19.9
7.58,4.59,3808,55,19.9
7.56,3.63,4207,67,19.8
7.58,4.5,3753,45,19.7
7.57,4.43,3083,43,19.6
7.55,4.02,3615,49,19.6
7.56,4.07,3544,51,19.5
7.56,4.09,3016,67,19.4
7.63,5.32,3434,44,19.5
7.67,5.24,3478,47,19.6
7.61,4.69,3519,62,19.7
7.56,4.34,3599,70,19.7
7.64,5.3,3581,60,19.8
7.66,5.15,3734,78,19.7
7.76,6.15,3364,73,19.7
7.76,6.33,3668,73,19.6
7.76,6.13,3756,64,19.6
7.73,6.11,3198,58,19.4
7.73,6.25,3845,68,19.4
7.72,6.17,3257,67,19.3
7.71,6.14,3478,60,19.2
7.65,5.32,3681,65,19.1
7.68,4.84,3974,66,19.1
7.64,4.68,3550,66,19.1
7.6,3.96,3826,56,19
7.54,3.85,3351,32,19
7.52,4,2675,23,19.1
7.49,3.98,2379,24,19
7.48,3.82,2394,34,18.9
7.48,3.78,2482,32,18.8
7.5,3.94,2429,36,18.8
7.48,3.72,2532,62,19
7.53,4.34,2631,50,19.2
7.48,3.64,2912,50,19.3
7.54,4.19,3042,141,19.3
7.55,4.6,1432,159,19.6
7.53,4.2,2681,160,19.5
7.56,4.68,2833,135,19.8
7.64,5.34,2684,105,19.9
7.57,4.53,2949,109,19.6
7.53,3.88,3264,111,19.3
7.52,3.62,3357,94,19.3
7.52,3.45,3348,103,19.3
7.53,4.73,2706,97,19
7.49,3.36,3335,94,19.1
7.48,3,3462,93,19.2
7.53,3.26,3554,86,19.3
7.55,3.92,3280,86,18.7
7.52,3.71,2940,81,18.7
7.51,3.92,2946,42,18.7
7.51,3.01,3487,59,19.1
7.49,2.69,3385,72,19.2
7.49,2.93,3829,63,19.2
7.51,3.53,3173,42,18.5
7.5,2.56,3826,63,19.1
7.5,2.85,4007,80,19.1
7.55,3.82,4218,160,18.9
7.57,4.06,3927,147,18.9
7.67,4.55,3596,97,18.9
7.58,4.57,4181,126,18.9
7.58,4.12,4162,119,19
7.61,4.5,4288,102,19.1
7.66,5.12,4144,85,19.4
7.61,4.65,3942,93,19.3
7.59,4.44,4211,100,19.2
7.59,4.61,3994,86,19.1
7.59,4.42,3730,90,19.1
7.57,4.25,4230,86,19.1
7.56,3.93,4282,87,19
7.57,4.07,4390,80,19
7.58,4.27,3547,75,18.9
7.56,4.18,3762,62,18.6
7.53,3.66,3544,73,18.8
7.51,3.38,3369,50,18.8
7.53,3.37,3697,54,18.8
7.51,3.35,3506,50,18.7
7.49,3.23,3308,55,18.6
7.49,3.89,3088,53,18.3
7.53,5.49,2899,33,18.2
7.54,5.51,2476,33,18.2
7.56,6.03,1842,33,18.5
7.51,4.88,3070,50,18.6
7.59,5.95,2466,47,18.7
7.54,5.84,2930,46,18.7
7.64,7.18,2827,42,19.1
7.49,4.29,3179,44,18.6
7.55,4.91,3101,49,18.7
7.58,6.04,3421,60,18.8
7.54,4.88,3804,80,18.8
7.6,5.93,4230,83,18.9
7.57,5.25,3267,76,18.9
7.57,5.37,4064,77,18.9
7.54,4.9,4233,84,18.9
7.49,3.8,3700,68,18.8
7.54,4.66,3127,58,18.7
7.48,4.23,3366,56,18.6
7.47,4.04,2952,56,18.7
7.48,4.57,2693,51,18.6
7.47,5.55,2435,44,18.6
7.45,4.68,2700,45,18.6
7.43,4.38,2516,45,18.6
7.42,4.3,2815,44,18.5
7.46,4.73,1447,37,18.5
7.47,5.38,604,36,18.7
7.47,5.76,2027,46,18.8
7.43,4.7,2703,55,18.9
7.48,5.31,2802,53,19.2
7.45,5.33,2450,49,19.1
7.43,4.88,951,64,19.2
7.42,4.55,2884,74,19
7.42,4.24,3307,79,18.9
7.43,3.78,3954,96,18.9
7.47,3.83,3973,94,18.9
7.47,3.51,3976,75,19
7.49,3.49,2497,81,18.9
7.48,3.53,4274,81,18.9
7.46,3.37,3539,84,18.9
7.47,4.01,4262,88,19
7.46,4.58,3675,57,18.7
7.43,3.88,3028,66,18.8
7.43,3.98,3841,69,19
7.43,3.73,3120,66,19
7.45,4.11,4119,61,19
7.44,3.61,2639,62,18.9
7.44,3.54,4339,65,18.9
7.43,3.64,4264,68,18.8
7.43,3.53,3672,63,18.7
7.42,3.42,3892,69,18.6
7.42,4.04,4012,60,18.6
7.43,4.25,4101,66,18.7
7.46,5.18,4063,59,18.9
7.46,5.33,3584,53,18.8
7.44,5.02,4138,66,18.9
7.45,5.24,3752,65,18.9
7.47,5.02,4057,82,18.9
7.46,5.63,3618,68,18.9
7.44,5.19,4110,78,18.9
7.43,5.12,4161,64,18.8
7.47,5.48,3777,53,18.7
7.42,5.41,3777,49,18.6
7.42,5.63,3575,40,18.4
7.39,5.14,3672,44,18.3
7.41,5.84,2986,47,18.3
7.38,5.51,3424,37,18.2
7.36,5.24,3276,37,18.2
7.36,4.84,3446,48,18
7.39,4.5,3145,73,18
7.36,4.1,3191,55,18
7.35,4.21,3313,49,17.9
7.35,4.01,3503,65,17.7
7.36,3.67,3200,96,17.6
7.35,3.71,3117,72,17.7
7.35,4.23,3721,63,18
7.36,4.99,3886,59,18.4
7.37,4.61,3951,51,18.7
7.35,4.37,3960,45,18.7
7.34,4.47,3918,45,18.8
7.34,3.89,3829,38,18.6
7.34,3.89,3832,38,18.6
7.34,3.28,3200,44,18.4
7.33,3.5,3813,42,18.3
7.33,3.55,3885,46,18.3
7.34,3.59,3882,41,18.2
7.33,3.57,3838,42,18.1
7.33,3.49,3554,43,18
7.33,3.85,3816,43,17.9
7.34,4.25,3841,40,18.1
7.3,5.4,3629,46,18.1
7.31,4.97,3734,37,18
7.32,4.37,3783,37,17.9
7.33,4.25,3703,37,17.8
7.32,4.07,3684,36,17.7
7.32,4.07,3753,37,17.5
7.32,3.97,3706,33,17.5
7.33,4.1,3718,33,17.6
7.33,5.6,2899,27,17.8
7.31,5.05,3176,34,17.9
7.31,4.38,3424,30,18
7.34,5.48,3627,29,18.2
7.31,5.38,3098,27,18.2
7.34,7.18,3531,34,18.5
7.34,7.42,3599,40,18.7
7.31,4.81,3515,32,18.2
7.31,3.92,3493,33,18.1
7.31,3.81,3879,37,18.1
7.32,3.55,3908,40,18.1
7.33,2.81,3936,44,18.1
7.33,2.91,4134,48,18.1
7.33,2.93,4116,50,18.1
7.31,4.77,3841,61,18
7.3,4.38,3348,57,17.9
7.31,4.37,3298,53,17.7
7.31,3.65,3430,40,17.7
7.31,3.11,4302,43,18
7.32,2.76,4122,43,18
7.33,2.91,3421,37,17.5
7.33,3.36,3418,34,17.2
7.32,3.1,3886,37,17.2
7.31,3.92,3718,33,17.3
7.3,4.38,3718,36,17.5
7.31,3.21,3749,38,17.5
7.31,3.5,3780,41,17.6
7.31,3.12,4050,36,17.8
7.31,3.7,4003,40,17.8
7.31,4.15,3338,41,17.9
7.3,4.73,4063,57,18.1
7.49,5.61,4367,63,18.2
7.55,7.01,4417,67,18.1
7.5,4.79,4650,66,18
7.55,5.52,4374,70,18
7.48,4.25,4709,66,18
7.48,4.21,4563,67,18
7.54,5.07,4401,54,17.8
7.54,5.27,4255,36,17.8
7.46,3.81,4690,56,18
7.46,3.74,4520,54,17.9
7.49,4.72,4402,46,17.6
7.41,2.93,4783,43,18
7.46,3.95,4745,41,18
7.43,3.26,4661,38,17.8
7.46,3.76,4566,36,17.5
7.54,5.07,4306,36,17.3
7.55,5.46,4100,36,17.4
7.58,5.7,4172,45,17.5
7.52,5.03,4223,42,17.6
7.49,4.24,4346,49,17.7
7.58,5.77,4271,49,17.8
8,9.82,4277,46,18.8
8.06,10.47,4100,44,19
7.88,7.97,4190,37,18.6
7.71,7.07,4311,33,18.1
7.86,8.33,4286,46,18.5
7.81,8.03,4239,43,18.3
7.78,7.77,4299,42,18.2
7.94,8.82,4186,56,18.6
7.95,8.41,4192,69,18.9
7.81,6.76,4069,81,18.8
7.69,5.63,3804,59,18.8
7.61,5.98,2740,27,18.4
7.59,5.93,2600,25,18.2
7.57,6.26,2624,36,18.1
7.55,5.36,2967,40,18.4
7.52,4.87,3082,41,18.5
7.5,4.54,2970,40,18.3
7.51,4.97,2693,30,17.8
7.49,4.68,2789,33,17.7
7.5,4.93,2865,29,17.9
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
7.46,4.05,3614,49,18.8
7.46,3.96,3642,66,18.6
7.52,4.77,3408,94,18.7
7.55,5.34,3384,86,18.7
7.46,3.56,3636,72,18.6
7.52,4.31,3586,78,18.5
7.51,4.18,3559,71,18.4
7.55,4.71,3525,64,18.1
7.55,4.76,3522,61,18
7.56,4.86,3393,62,18
7.55,4.58,3348,61,17.8
7.56,4.9,3244,58,17.9
7.56,4.95,3235,55,17.6
7.53,4.73,3876,53,18
7.52,5.23,4110,47,18.1
7.54,4.88,3791,42,17.6
7.52,4.77,3755,43,17.5
7.52,4.7,3618,45,17.3
7.54,5.08,3510,50,17.1
7.53,5.09,3556,49,17.1
7.5,4.63,3575,48,17.2
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
7.5,4.38,4230,66,17.9
7.68,6.52,4060,70,18.1
7.66,5.59,4016,59,18
7.51,4.11,4287,66,17.8
7.53,4.32,4321,65,17.8
7.51,3.75,4430,64,17.8
7.55,4.27,4268,78,17.8
7.63,5.38,4205,68,17.8
7.6,5.05,3923,59,17.6
7.57,4.68,3854,65,17.4
7.55,4.45,4108,67,17.6
7.63,6.29,3235,63,17.1
7.55,4.64,3914,57,17.4
7.6,5.78,2893,74,16.8
7.59,5.79,2874,73,16.9
7.59,5.78,2639,71,16.8
0,0,0,0,0
0,0,0,0,0
7.55,5.63,2438,64,17
7.6,6.32,2388,55,17.1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
7.45,4.83,2862,59,17.4
7.45,4.6,3080,55,17.4
7.58,5.98,2884,57,17.6
7.49,4.69,3170,55,17.4
7.48,4.63,3363,55,17.5
7.61,6.27,3403,55,17.6
7.62,6.47,3366,39,17.6
7.57,5.79,3279,47,17.5
7.57,5.75,3216,43,17.3
7.56,5.72,3042,36,17
7.56,5.75,2994,33,16.8
7.54,5.55,2995,36,16.7
7.56,6.24,2824,33,17
7.54,5.88,2868,42,17
7.53,5.65,2805,34,16.9
7.56,6.19,2547,43,16.9
7.6,6.62,2476,48,17.1
7.7,7.75,2434,44,17.3
7.49,5.13,2778,35,17.1
7.45,4.54,2930,56,17.2
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
7.53,4.22,3251,49,17.7
7.44,3.7,3516,38,17.6
7.45,3.67,3780,46,17.6
7.49,4.28,3792,58,17.8
7.5,4.11,3930,55,17.9
7.5,4.01,3997,58,17.9
7.5,4.56,3758,46,17.7
7.52,4.95,3540,63,17.8
7.57,4.68,3649,69,18.2
7.54,3.9,3439,85,18.3
7.53,4.18,2985,104,18.4
7.52,4.6,2372,84,18.5
7.56,5.7,1737,54,18.6
7.6,6.58,1430,30,18.4
7.61,6.8,1300,42,18.2
7.59,6.65,1269,54,18.2
7.62,6.71,1300,44,18.2
7.67,7.33,1291,68,18.4
7.78,8.26,1322,59,18.7
7.58,6.23,1353,51,18.6
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
7.88,8.68,1596,46,19.6
8.03,10.06,1606,62,19.6
7.76,7.67,1606,127,19.2
7.78,7.92,1575,38,19
7.77,7.62,1568,36,19
7.67,6.94,1572,37,18.9
7.68,7,1547,33,18.7
7.65,6.83,1509,27,18.7
7.65,6.64,1491,22,18.7
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
7.6,6.45,1484,52,19.6
7.55,6.04,1430,66,19.5
7.62,6.87,1421,43,19.5
7.59,6.7,1412,38,19.5
7.61,6.67,1409,36,19.5
7.55,6.42,1418,33,19.4
7.55,6.3,1406,24,19.3
7.61,6.55,1387,25,19.4
7.65,6.56,1387,24,19.5
7.6,7.16,1378,48,19.4
7.47,5.44,1783,38,19.5
7.51,5.8,1659,39,19.5
7.5,5.11,1827,57,19.5
7.49,5.23,1852,42,19.6
7.52,5.48,1842,33,19.7
7.5,5.01,1934,27,19.7
7.51,4.84,1946,31,19.7
7.56,5.48,1855,42,19.6
7.46,4.54,1877,53,19.5
7.45,4.24,1852,37,19.2
7.41,3.63,1983,42,19.2
7.4,3.72,1877,48,18.9
7.39,3.68,1808,32,18.7
7.38,3.58,1802,23,18.6
7.38,3.34,1796,37,18.6
7.35,3.58,1787,26,18.4
7.34,3.15,1805,27,18.4
7.34,3.07,1787,25,18.4
7.35,3.04,1747,30,18.4
7.33,2.77,1778,25,18.3
7.33,2.99,1716,17,18.3
7.33,2.78,1715,25,18.2
7.33,2.58,1722,33,18.3
7.33,2.64,1716,22,18.2
7.32,2.55,1737,25,18.2
7.32,2.59,1749,29,18.3
7.32,2.43,1795,24,18.4
7.33,2.64,1777,22,18.5
7.4,3.5,1771,31,18.9
7.33,2.68,1780,31,18.7
7.36,2.94,1780,32,18.6
7.32,2.25,1784,34,18.6
7.34,2.45,1784,31,18.7
7.37,3.01,1765,33,18.7
7.38,3.19,1762,23,18.8
7.41,3.85,1753,16,18.8
7.4,3.92,1778,26,18.8
7.44,4.16,1765,25,18.8
7.44,4.85,1760,23,18.8
7.45,4.56,1688,19,19
7.42,4.05,1756,24,19
7.41,4.1,1738,23,18.9
7.41,3.94,1738,21,18.9
7.36,3.16,1672,16,18.8
7.34,3.27,1666,21,18.7
7.33,2.93,1634,46,18.8
7.35,3.1,1646,14,18.8
7.38,3.79,1666,29,19.2
7.58,5.85,1672,24,20
7.49,5.07,1669,43,20.2
7.38,3.55,1669,21,19.4
7.36,3.31,1662,11,19.4
7.37,4.39,1666,13,19.5
7.42,4.24,1624,13,19.6
7.39,3.35,1675,12,19.5
7.86,8.43,1656,32,20.5
7.71,6.82,1653,26,20.3
7.53,5.19,1669,23,19.9
7.39,3.72,1653,23,19.5
7.3,2.15,1697,10,19.2
7.28,1.85,1707,12,19.2
7.3,2.63,1691,10,19.2
7.29,2.27,1694,7,19.2
7.25,1.66,1697,14,19.1
7.25,1.58,1694,7,19
7.24,1.58,1682,7,19
7.24,1.45,1669,13,19
7.24,1.63,1647,6,19
7.24,1.33,1682,8,19
7.23,1.33,1669,11,18.9
7.23,1.43,1682,3,19
7.25,2.1,1691,3,19.2
7.27,2,1516,8,19.5
7.24,1.25,1722,6,19.1
7.23,1.78,1691,5,19
7.22,1.66,1741,4,19
7.24,1.52,1839,2,19.1
7.26,1.64,2014,13,19.2
7.28,2.18,2039,4,19.1
7.27,1.61,2071,2,19.2
7.3,2.31,2071,19,19.2
7.3,2.64,2020,17,19.2
7.33,2.46,2099,18,19.4
7.33,2.29,2130,15,19.4
7.31,2.12,2142,20,19.4
7.31,1.76,2282,11,19.4
7.31,1.94,2189,17,19.2
7.3,1.5,2320,16,19.2
7.3,2.19,2282,24,19.1
7.29,1.45,2301,16,19.2
7.3,2.28,2173,17,19.2
7.28,1.62,2213,21,19
7.27,1.46,2117,13,19
7.27,1.65,2176,16,19
7.27,1.67,2170,18,19
7.27,1.97,2142,10,19
7.28,3.81,2133,16,19.2
0,0,0,0,0
7.2,3.05,2189,4,19.4
