PH,oxy,tur,elec,tem
7.3,6,178.2,3006.6,18.4
7.3,5.9,177.7,3003.4,18.4
7.3,5.7,178.1,3040.8,18.4
7.3,5.5,192.8,3074.7,18.5
7.3,5.3,198,3104.6,18.5
7.3,5.2,200,3132.3,18.5
7.3,5,195.7,3154.6,18.4
7.3,4.9,188.9,3171,18.4
7.3,4.7,182.9,3167.1,18.4
7.3,4.6,177,3161.1,18.3
7.3,4.5,166.5,3170.3,18.3
7.3,4.5,170.5,3152.6,18.3
7.3,4.4,179.2,3152.5,18.3
7.3,4.5,182,3158.4,18.3
7.2,4.7,201.3,3190.6,18.4
7.2,5,218,3205.5,18.4
7.3,5.3,232,3200.2,18.5
7.3,5.6,234,3141.1,18.6
7.3,5.8,221.7,3066.2,18.6
7.3,5.8,209.1,3006.5,18.6
7.3,5.8,186.3,2940.8,18.7
7.2,5.8,159.8,2857.5,18.7
7.2,5.8,145.5,2762.9,18.6
7.2,5.8,133.9,2673.8,18.6
7.2,5.8,122.7,2620.8,18.6
7.2,5.7,128,2595.9,18.6
7.2,5.5,133.8,2626,18.6
7.2,5.4,136.4,2649.9,18.5
7.2,5.2,140.6,2671.6,18.5
7.2,5.1,141.9,2694,18.5
7.2,4.9,152.8,2706.5,18.4
7.2,4.7,164.8,2745.7,18.4
7.2,4.7,185.1,2748.8,18.5
7.2,4.7,222.7,2664.2,18.5
7.2,4.6,255.5,2477.4,18.6
7.2,4.4,299.9,2347.8,18.7
7.2,4.1,351.5,2270.1,18.8
7.2,4,386.8,2226.2,18.9
7.3,3.9,403.2,2212.2,18.9
7.3,3.9,388.2,2218.8,19
7.3,3.9,344.8,2239.1,19
7.3,4,308.9,2267.8,19
7.4,4.1,283.6,2304.2,19
7.4,4.2,268.6,2351.8,19
7.4,4.2,260.1,2416.8,18.9
7.4,4.1,249.2,2474.3,18.9
7.5,4,233.1,2503.5,18.9
7.5,3.9,211.5,2487.5,18.9
7.5,3.8,187.4,2432.7,18.8
7.5,3.7,168.4,2418.1,18.8
7.5,3.6,155.8,2434.4,18.7
7.5,3.5,148.4,2438.5,18.7
7.4,3.3,142.3,2441,18.7
7.4,3.2,127.2,2453.7,18.6
7.4,3.1,115.7,2479.8,18.6
7.4,3,107.2,2545,18.6
7.4,3,107.6,2663.3,18.6
7.4,2.9,118.9,2851.6,18.7
7.5,2.9,133.2,3086.7,18.8
7.5,3,145.1,3270,18.8
7.5,3.1,157.5,3401.4,18.9
7.5,3.2,162.1,3464.9,18.9
7.5,3.4,167,3502.4,18.9
7.5,3.5,170.6,3649.8,19
7.6,3.8,168.6,3840.6,19
7.6,4,165.3,4017.5,19
7.6,4.1,163.5,4183.6,19
7.6,4.4,156.3,4236.6,18.9
7.7,4.5,147.1,4269.3,18.9
7.7,4.7,133.5,4179.9,18.9
7.7,4.8,121.1,4013.9,18.9
7.7,4.9,107,3766.8,18.9
7.7,4.9,91.9,3535.1,18.8
7.6,4.9,75.4,3200,18.8
7.6,5,63,2841.3,18.7
7.6,5,53.6,2485.1,18.7
7.6,5.1,45.5,2323.7,18.7
7.6,5.2,37.2,2119.2,18.6
7.6,5.2,32,1942.4,18.5
7.6,5.2,31.6,1992.2,18.5
7.6,5.1,37,2120.4,18.5
7.6,5,48.7,2317.1,18.5
7.6,5,64.6,2555.7,18.6
7.6,5.1,83.2,2793.5,18.8
7.6,5.2,102.3,3020,18.9
7.6,5.6,112,3094.2,19.1
7.7,5.9,120.4,3169.5,19.3
7.7,6.3,119.9,3198.9,19.4
7.7,6.6,118.9,3279.7,19.5
7.8,6.7,120.7,3397.5,19.6
7.8,6.8,127.3,3588,19.6
7.8,6.8,131.8,3763.5,19.6
7.8,6.7,130.2,3903.6,19.5
7.8,6.5,124.3,4000.3,19.5
7.8,6.4,114,3987.8,19.4
7.8,6.3,105.1,3946.6,19.3
7.8,6.2,95,3898,19.3
7.7,6.1,86.7,3817.7,19.2
7.7,5.9,81.1,3757.5,19.2
7.7,5.8,75.1,3622.8,19.2
7.7,5.5,68.7,3484.8,19.2
7.6,5.3,64.2,3314.7,19.2
7.6,5,60.7,3096.8,19.2
7.6,4.9,56.8,2838.4,19.2
7.6,4.8,54,2802,19.1
7.6,4.8,55.6,2837.7,19.1
7.6,4.7,63.6,2958.5,19.1
7.6,4.7,72.1,3070.8,19.2
7.6,4.8,83,3173,19.2
7.6,5,95.8,3292.2,19.3
7.6,5.4,109.3,3366,19.4
7.7,5.8,118.3,3451,19.5
7.7,6.3,123.1,3454.6,19.7
7.7,6.4,127.7,3473.2,19.7
7.8,6.7,130.8,3451.1,19.7
7.8,6.9,133.2,3459.9,19.8
7.8,7,126.5,3459.6,19.8
7.8,7,117.9,3403.2,19.7
7.8,7,109.4,3285,19.7
7.8,6.8,101.9,3131.4,19.7
7.8,6.6,96,2964.1,19.7
7.8,6.4,90,3131.4,19.7
7.7,6.3,84.7,3263.9,19.7
7.7,6.1,81.2,3309.4,19.6
7.7,5.9,79.5,3283.2,19.6
7.7,5.6,77.6,3250,19.6
7.7,5.3,75.4,3157.7,19.5
7.6,5.1,74.2,3218.3,19.5
7.6,4.9,73.7,3258.1,19.5
7.6,4.8,74.1,3278.1,19.5
7.6,4.8,72.8,3273.8,19.6
7.6,5,69.9,3254.9,19.6
7.6,5.4,68.3,3204.2,19.7
7.7,5.9,69.3,3171.5,19.8
7.7,6.4,70.7,3175.8,19.9
7.8,7,74.3,3190.5,20
7.8,7.6,81.3,3220.1,20.1
7.9,7.8,92.6,3323.8,20.2
7.9,7.6,104.2,3485.5,20.2
7.9,7,109.7,3688.8,20.1
7.8,6.4,110.1,3912.7,20
7.8,5.7,107.5,4139.5,19.8
7.7,5.2,105.5,4285.9,19.7
7.7,5,103.6,4396,19.7
7.7,4.9,100.8,4509.1,19.7
7.7,5,96.3,4557,19.7
7.7,5,88.9,4580.4,19.7
7.7,5,83.5,4590.3,19.7
7.7,4.9,79.9,4597.7,19.8
7.7,4.8,76.2,4591.4,19.8
7.7,4.8,72.2,4550.7,19.8
7.7,4.6,70.5,4522.7,19.7
7.7,4.6,70.1,4490.8,19.7
7.6,4.5,70.7,4454.2,19.7
7.6,4.4,75.6,4448.4,19.7
7.6,4.3,82.9,4481.2,19.7
7.6,4.4,89.5,4523,19.8
7.6,4.4,93.6,4568,19.8
7.6,4.4,96.1,4594.9,19.8
7.6,4.5,96.4,4618.7,19.9
7.7,4.3,97.7,4651.3,19.9
7.7,4.2,100.3,4696.9,19.8
7.7,4,104.4,4771.1,19.8
7.7,4,107.8,4857.5,19.7
7.7,4,110.3,4901.2,19.7
7.7,4.2,110.1,4825.4,19.7
7.7,4.4,105.8,4705.5,19.7
7.7,4.6,94.3,4466.9,19.7
7.7,4.7,79.5,4277.6,19.7
7.7,4.8,65.2,4027,19.7
7.7,4.8,53.9,3782.6,19.7
7.7,4.8,46,3600.8,19.6
7.7,4.7,41.2,3467.8,19.6
7.6,4.8,37.2,3346.4,19.5
7.6,4.8,34,3298.4,19.4
7.6,4.9,32.7,3273.8,19.4
7.6,4.9,34,3314.1,19.4
7.6,4.8,38.5,3376.8,19.4
7.6,4.6,45.6,3467.4,19.4
7.6,4.4,56.1,3596.3,19.5
7.6,4.2,67.9,3754.9,19.7
7.6,4,79.5,3886.4,19.8
7.6,4.1,87.7,3978.2,19.9
7.6,4.3,92.1,4045.7,19.9
7.6,4.5,95.5,4097.2,19.9
7.6,4.7,98.9,4165.8,19.8
7.6,4.9,101.4,4218,19.8
7.7,5,103.2,4263.5,19.8
7.7,4.9,102.2,4283,19.8
7.7,4.8,100.4,4246.1,19.8
7.7,4.7,96.4,4147.3,19.7
7.6,4.7,86.8,3995.8,19.7
7.6,4.6,75.4,3859.2,19.7
7.6,4.5,62.8,3686.8,19.7
7.6,4.4,51.6,3544.5,19.7
7.6,4.4,42.8,3411.5,19.7
7.6,4.5,36.4,3289.4,19.7
7.6,4.6,32,3178.1,19.6
7.6,4.6,30.6,3099.6,19.6
7.6,4.5,31.1,3045,19.6
7.6,4.5,33,3044.7,19.6
7.6,4.5,36.7,3069.5,19.6
7.6,4.4,42.2,3111.2,19.6
7.6,4.3,49.6,3149.5,19.8
7.6,4.6,57.6,3143.5,19.9
7.6,5.3,64.8,3081.7,20
7.7,6.1,65.5,2980.8,20.1
7.8,7.1,64.9,2966,20.3
7.8,8,64.6,2915,20.5
7.9,8.8,63.5,2869.3,20.6
8,9.1,60.4,2815.6,20.6
8,9.2,56.4,2803.3,20.6
7.9,8.8,53.3,2815.5,20.5
7.9,8.1,52.1,2825.8,20.4
7.8,7.5,51.2,2802.4,20.3
7.7,6.9,51.1,2807.6,20.2
7.7,6.4,50,2801.5,20.1
7.7,5.9,49.4,2841.8,20.1
7.6,5.3,50.2,3085,20
7.6,4.9,51.4,3310.6,19.9
7.6,4.6,52.4,3472.8,19.9
7.6,4.4,53.3,3629.7,19.8
7.6,4.2,53.4,3705.3,19.8
7.6,4.2,51.2,3653.2,19.7
7.6,4.2,50.1,3550,19.6
7.6,4.2,50.5,3498.6,19.6
7.6,4.3,51.7,3440.2,19.5
7.6,4.4,53.3,3387.3,19.5
7.6,4.7,53.6,3409,19.5
7.6,4.8,55.8,3450.2,19.6
7.6,4.9,59.9,3497.3,19.6
7.6,5,63.9,3540.9,19.7
7.7,5.2,66.7,3569.1,19.7
7.7,5.5,69.6,3584.3,19.7
7.7,5.8,70.3,3571.6,19.7
7.7,6,69.6,3580.6,19.6
7.7,6.2,67.9,3574.8,19.5
7.7,6.2,66.4,3546.8,19.5
7.7,6.2,66.2,3569.4,19.4
7.7,6,65.7,3565.4,19.3
7.7,5.8,64.5,3605.8,19.2
7.7,5.4,63.2,3654.3,19.2
7.7,5,60.4,3664.4,19.1
7.6,4.6,55.3,3579.6,19.1
7.6,4.3,47.7,3436.5,19
7.6,4.1,38.7,3192.8,19
7.5,3.9,32.1,2910.2,19
7.5,3.9,29.3,2682.7,18.9
7.5,3.8,30.5,2548,18.9
7.5,3.8,34.6,2491.7,18.9
7.5,3.9,42.6,2484.5,18.9
7.5,3.9,54.7,2515.2,19
7.5,4,69,2555.3,19.1
7.5,4.1,88.1,2579.1,19.3
7.5,4.2,112.1,2548.9,19.4
7.5,4.4,128.7,2469.9,19.5
7.6,4.5,135,2565.7,19.6
7.6,4.6,131.7,2687.6,19.7
7.6,4.6,123.9,2810.8,19.7
7.6,4.4,116.8,2955.5,19.6
7.5,4.2,110.5,3089.6,19.5
7.5,4,104.6,3174.5,19.4
7.5,3.9,100.8,3206.3,19.3
7.5,3.8,97.1,3204.2,19.2
7.5,3.6,93.4,3261.6,19.1
7.5,3.5,89.2,3300.8,19.1
7.5,3.5,84,3299.8,19
7.5,3.5,78,3252.3,18.9
7.5,3.5,70.8,3209.3,18.9
7.5,3.4,63.3,3231.7,18.9
7.5,3.2,60.6,3325.3,19
7.5,3.1,60.9,3421.1,19
7.5,3,62.5,3530.7,19
7.5,3.1,67.5,3608.9,18.9
7.5,3.1,79.4,3747.1,19
7.5,3.3,95.7,3868.2,19
7.6,3.6,113.1,3948.7,18.9
7.6,3.9,120.4,3971.7,18.9
7.6,4.2,119.6,3991.7,19
7.6,4.4,118.2,4062.6,19
7.6,4.5,113.4,4112.1,19.1
7.6,4.6,106.4,4137.9,19.1
7.6,4.7,99.9,4126,19.2
7.6,4.7,96.1,4100.6,19.2
7.6,4.6,93.6,4091.9,19.2
7.6,4.5,90.6,4069.3,19.2
7.6,4.4,88.4,4060.8,19.1
7.6,4.3,85.8,4093.4,19.1
7.6,4.2,82.8,4088.4,19
7.6,4.1,78.6,4022.1,19
7.6,4,73.7,3878.2,18.9
7.5,3.8,68.4,3764.6,18.8
7.5,3.7,63.9,3653.2,18.8
7.5,3.5,58.5,3559.5,18.7
7.5,3.5,54.7,3485.1,18.7
7.5,3.6,51.4,3364.6,18.6
7.5,3.8,48.6,3200.8,18.5
7.5,4.3,45,3007.1,18.4
7.5,4.8,40.9,2806.9,18.4
7.5,5.2,38.9,2627.7,18.4
7.5,5.5,39.1,2531.9,18.5
7.5,5.6,41.2,2596.2,18.6
7.6,5.8,42.8,2658,18.6
7.6,5.8,44.3,2785.1,18.7
7.6,5.8,46.3,2925.9,18.8
7.6,5.6,50.1,3101.3,18.8
7.6,5.5,55.8,3280.1,18.8
7.6,5.5,63.2,3482.6,18.8
7.6,5.4,70.6,3673.3,18.8
7.6,5.4,75.4,3803.5,18.9
7.6,5.2,77.1,3827,18.9
7.6,5,76.9,3868.3,18.9
7.5,4.8,74.6,3822.1,18.8
7.5,4.5,69.6,3656.3,18.8
7.5,4.4,63.9,3438.4,18.7
7.5,4.4,58.9,3239,18.7
7.5,4.4,54.5,3018.2,18.6
7.5,4.6,50.5,2811.8,18.6
7.5,4.7,46.9,2635.3,18.6
7.5,4.7,44.5,2494.9,18.6
7.4,4.7,42.7,2328.1,18.6
7.4,4.8,41.4,2135.3,18.6
7.4,4.9,40.7,1884.6,18.6
7.5,5.1,41.8,1773.2,18.7
7.5,5.2,45,1915.8,18.8
7.5,5.2,49.2,2109.2,18.9
7.5,5.1,53.4,2240.8,19
7.4,5,58.4,2309,19.1
7.4,4.8,65.4,2407.3,19.1
7.4,4.5,72.8,2760.7,19
7.4,4.3,79.3,3131.1,19
7.4,4,84.3,3445.3,19
7.5,3.8,85.9,3619.8,18.9
7.5,3.7,84.6,3670.6,18.9
7.5,3.6,83.5,3638.5,18.9
7.5,3.6,82,3734.6,18.9
7.5,3.7,79.8,3742.9,18.9
7.5,3.9,76.4,3744.1,18.9
7.5,4,71.3,3651.9,18.9
7.4,4,68.4,3553.2,18.9
7.4,3.9,66.6,3542.9,18.9
7.4,3.9,65,3526,18.9
7.4,3.8,63.9,3590.1,18.9
7.4,3.7,63.7,3618.4,18.9
7.4,3.6,64.1,3791.2,18.8
7.4,3.6,64.5,3887.4,18.8
7.4,3.7,64.3,3910.3,18.7
7.4,3.8,64,3945.5,18.7
7.4,4.1,63.1,3974.7,18.7
7.4,4.4,62.6,3983.5,18.7
7.4,4.7,62.2,3962.6,18.8
7.4,5,62.9,3923.9,18.8
7.5,5.1,65.5,3931.8,18.9
7.5,5.2,68.1,3918.1,18.9
7.5,5.3,70.4,3926.8,18.9
7.5,5.3,69.8,3918.8,18.9
7.4,5.3,67.6,3940.4,18.8
7.4,5.4,62.5,3918.1,18.8
7.4,5.4,56.3,3834.6,18.7
7.4,5.5,50.7,3734.6,18.6
7.4,5.5,46.2,3616.9,18.5
7.4,5.5,43.8,3502.9,18.4
7.4,5.5,42.8,3380.4,18.3
7.4,5.3,42.9,3331.5,18.2
7.4,5.1,45.3,3293.8,18.1
7.4,4.8,50.2,3273.9,18
7.4,4.6,55.9,3246.7,18
7.4,4.3,59.3,3250.5,17.9
7.4,4.2,62.9,3282,17.8
7.4,4,67.8,3326.9,17.8
7.4,4,71.5,3368.7,17.8
7.4,4.1,69.5,3457.4,17.9
7.4,4.2,65.1,3609.1,18.1
7.4,4.4,59.6,3743.1,18.3
7.4,4.4,53.8,3832.2,18.5
7.4,4.4,48.7,3869,18.6
7.3,4.2,44.9,3858.2,18.6
7.3,4,42.2,3814.2,18.6
7.3,3.8,41.1,3758.5,18.6
7.3,3.6,41.4,3704,18.5
7.3,3.5,41.8,3734.2,18.4
7.3,3.5,42.3,3766.6,18.3
7.3,3.6,42.4,3780.5,18.2
7.3,3.7,42.5,3773,18.1
7.3,3.8,42.5,3753.1,18.1
7.3,4,42.3,3759.1,18
7.3,4.3,41.7,3757.7,18
7.3,4.5,41.1,3743.7,18
7.3,4.6,39.6,3743,17.9
7.3,4.5,38.2,3739.8,17.9
7.3,4.3,37.1,3722.4,17.8
7.3,4.3,36,3695.1,17.7
7.3,4.2,34.9,3653.2,17.6
7.3,4.3,33.4,3580.5,17.6
7.3,4.5,32.1,3479.3,17.7
7.3,4.8,31,3355.9,17.8
7.3,5,30.6,3321.1,17.9
7.3,5.2,30.2,3339.4,18
7.3,5.5,30.2,3369,18.2
7.3,5.8,30.7,3382.2,18.3
7.3,6,32.2,3448.6,18.3
7.3,5.8,33.7,3518.6,18.4
7.3,5.2,34.5,3587.6,18.3
7.3,4.6,36,3674.1,18.2
7.3,4,38.4,3785.2,18.2
7.3,3.6,41.4,3871.1,18.1
7.3,3.4,44.9,3924.9,18.1
7.3,3.4,48.3,3940.1,18.1
7.3,3.5,51.2,3890.6,18
7.3,3.8,53.2,3784.7,18
7.3,3.9,52.7,3673.3,17.9
7.3,3.8,50.3,3634.4,17.8
7.3,3.6,46.7,3676.1,17.8
7.3,3.4,43.8,3762.9,17.8
7.3,3.2,41,3765.1,17.7
7.3,3.2,38.4,3703.8,17.5
7.3,3.3,36.4,3681.5,17.4
7.3,3.4,35.4,3706.4,17.4
7.3,3.5,35,3718,17.4
7.3,3.6,35.5,3736.2,17.4
7.3,3.5,36.5,3764.6,17.5
7.3,3.6,38.1,3802.9,17.6
7.3,3.7,40,3850.4,17.7
7.3,4,43.3,3880.8,17.8
7.3,4.4,48,3918.1,17.9
7.4,4.8,54.1,4060.7,18
7.4,5.2,59.6,4220.8,18.1
7.5,5.5,63.6,4354.5,18.1
7.5,5.4,65.7,4455.4,18.1
7.5,5.2,66.1,4501.7,18
7.5,4.9,64.5,4536.4,18
7.5,4.8,61.2,4527.7,18
7.5,4.7,56.6,4504.6,17.9
7.5,4.5,52.3,4499.9,17.9
7.5,4.2,50.7,4536.3,17.9
7.5,4,48.6,4558,17.9
7.5,3.9,45.9,4583.6,17.8
7.4,3.7,43.2,4622.9,17.8
7.5,3.7,40.9,4619.4,17.8
7.5,3.8,39,4569.9,17.7
7.5,4.1,38.1,4483.9,17.6
7.5,4.5,38.2,4377.4,17.5
7.5,4.9,39.4,4289.1,17.5
7.5,5.2,41.6,4246.9,17.6
7.6,5.5,43.3,4236.7,17.7
7.6,6,44.7,4242.2,17.9
7.7,6.9,44.9,4240,18.1
7.8,7.8,44,4236.2,18.3
7.9,8.4,42.5,4231.7,18.5
7.9,8.4,41.2,4249.8,18.5
7.9,8.3,41.3,4276.1,18.5
7.9,8.3,43.6,4287.9,18.5
7.9,8.2,46.6,4279.3,18.5
7.9,8.1,50.6,4244.2,18.5
7.9,8,55.5,4159.2,18.6
7.8,7.6,58.9,4018.6,18.7
7.8,7.1,58.4,3802.1,18.7
7.7,6.5,52.4,3511.9,18.6
7.7,6.2,44.3,3183.8,18.5
7.6,5.9,39.1,2958.8,18.4
7.6,5.7,37.1,2851.5,18.3
7.5,5.4,36.4,2836.2,18.3
7.5,5.1,35.8,2841.4,18.2
7.5,4.9,34.7,2833.6,18.1
7.5,4.8,33.4,2825.1,18
7.5,4.7,33.3,2857.8,18
7.5,4.7,34.5,2927.4,18
7.5,4.6,37.7,3028.7,18.1
7.5,4.5,42.1,3144.1,18.2
7.5,4.4,47.5,3262.8,18.3
7.5,4.3,53.7,3373.5,18.5
7.5,4.3,60.4,3465.3,18.6
7.5,4.3,68.5,3512.2,18.6
7.5,4.4,75.7,3519.8,18.7
7.5,4.4,78.2,3529.3,18.6
7.5,4.3,77.3,3549.4,18.6
7.5,4.4,75.4,3548.2,18.5
7.5,4.4,71.9,3530.2,18.3
7.5,4.5,68.1,3499.8,18.2
7.5,4.6,64.7,3463.9,18.1
7.6,4.7,62,3427.9,18
7.6,4.8,59.5,3416.1,17.9
7.6,4.8,56.8,3442.9,17.9
7.5,4.9,53.8,3525.8,17.8
7.5,4.9,50.9,3658.5,17.8
7.5,4.9,47.9,3745.7,17.8
7.5,4.9,45.8,3750,17.6
7.5,4.9,45.1,3717.3,17.5
7.5,4.9,45.7,3665.7,17.3
7.5,4.9,47,3625.2,17.3
7.5,4.9,48.5,3619.2,17.2
7.5,4.9,50.4,3647.9,17.3
7.5,5,53,3711.1,17.3
7.5,5,55.8,3793.1,17.5
7.5,5.1,58.6,3885.5,17.6
7.6,5.1,61.3,3979.9,17.7
7.6,5.1,63.5,4067.9,17.8
7.6,5.2,64.8,4124.9,17.9
7.6,5,65,4181.4,17.9
7.6,4.7,65.8,4248.8,17.9
7.6,4.5,66.5,4291.4,17.9
7.6,4.4,67.2,4298.9,17.8
7.6,4.5,67.9,4252.5,17.8
7.6,4.7,66.9,4168.6,17.7
7.6,4.8,65.5,4051.2,17.6
7.6,4.9,65.1,3926.6,17.5
7.6,5.1,65.1,3786.5,17.4
7.6,5.3,65.2,3581,17.3
7.6,5.4,65.9,3399.1,17.1
7.6,5.6,68,3141.8,17
7.6,5.7,68.9,2924.4,16.9
7.6,5.8,68.5,2741.1,16.9
7.6,5.8,67,2605.8,16.9
7.6,5.9,65,2507.1,16.9
7.6,5.9,62.8,2443.8,17
7.6,5.9,60.6,2415,17
7.6,5.8,59.5,2421.1,17.1
7.5,5.7,58.8,2454.8,17.2
7.5,5.5,58.4,2511.5,17.2
7.5,5.3,58.2,2586.7,17.3
7.5,5.2,58.1,2675.7,17.3
7.5,5.1,58,2774,17.4
7.5,5,57.7,2877,17.4
7.5,5,56.9,2981.7,17.5
7.5,5.2,56.1,3070.7,17.5
7.5,5.2,54.7,3176.2,17.5
7.5,5.4,52.8,3265.2,17.5
7.6,5.7,50.1,3311.8,17.5
7.6,5.8,46.5,3310.9,17.5
7.6,5.8,43.8,3269.4,17.4
7.6,5.8,40.9,3200.9,17.2
7.6,5.8,38.1,3114.6,17.1
7.6,5.8,36.3,3030.6,17
7.6,5.9,35.8,2949.5,16.9
7.6,6,36.2,2863.4,16.9
7.6,6,37.6,2785.8,16.9
7.6,6.1,38.9,2705.6,16.9
7.6,6.2,41.1,2630.3,17
7.6,6.3,42.9,2597.4,17.1
7.6,6.1,43.9,2621.4,17.1
7.5,5.7,44.7,2707.9,17.2
7.5,5.3,46.5,2810.9,17.2
7.5,4.9,46.7,2912.6,17.3
7.5,4.6,46.6,3023.7,17.4
7.5,4.4,46.3,3143.2,17.5
7.5,4.2,46,3270,17.5
7.5,4.1,46,3402.9,17.6
7.5,4,46.2,3556.1,17.6
